DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
Chicago,101146,0.36,disk,11,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,disk,14,0.18,4,2,0,3.5,0.0,0.0,0.10682823679756015,8.557544049072035E-6
Chicago,101146,0.36,disk,22,0.12,9,3,0,3.5,0.0,0.0,0.12950781958867758,1.847090958907902E-4
Chicago,101146,0.36,disk,70,0.09,16,4,0,3.5,0.0,0.0,0.14865899202277344,0.002607114369423557
Chicago,101146,0.36,disk,355,0.072,25,5,1,3.5,0.0,0.0,0.17733175737168352,0.0021282443209654596
Chicago,101146,0.36,mdsw,11,0.36,1,1,0,3.5,-1,0.0,0.0,0.0
Chicago,101146,0.36,mdsw,11,0.18,4,2,0,3.5,-1,0.0,0.4432674397582017,0.0
Chicago,101146,0.36,mdsw,12,0.12,9,3,0,3.5,-1,0.0,0.5701068123672277,0.0
Chicago,101146,0.36,mdsw,12,0.09,16,4,0,3.5,-1,0.0,0.6850948412606485,0.0
Chicago,101146,0.36,mdsw,13,0.072,25,5,0,3.5,-1,0.0,0.755040568678885,0.0
Chicago,101146,0.36,hue,11,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,hue,14,0.18,4,2,0,3.5,0.0,0.0,0.10682823679756015,8.557544049072035E-6
Chicago,101146,0.36,hue,22,0.12,9,3,0,3.5,0.0,0.0,0.12950781958867758,1.847090958907902E-4
Chicago,101146,0.36,hue,70,0.09,16,4,0,3.5,0.0,0.0,0.14865899202277344,0.002607114369423557
Chicago,101146,0.36,hue,947,0.072,25,5,1,3.5,0.0,0.0,0.350202271903776,0.0
Chicago,101146,0.36,diskNonShrink,10,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,diskNonShrink,14,0.18,4,2,0,3.5,0.0,0.0,0.1069670979222109,0.0
Chicago,101146,0.36,diskNonShrink,18,0.12,9,3,0,3.5,0.0,0.0,0.12784463201227955,0.0
Chicago,101146,0.36,diskNonShrink,82,0.09,16,4,0,3.5,0.0,0.0,0.15537334639888536,0.0
Chicago,101146,0.36,diskNonShrink,819,0.072,25,5,1,3.5,0.0,0.0,0.16601099464669863,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,0,0.36,1,1,-1,5.15,-1,0.0,0.0,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,39,0.18,4,2,-1,3.1316079610346197,-1,0.0,0.10578183869440824,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,35,0.12,9,3,-1,2.5410487018532804,-1,0.0,0.13141414997078676,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,31,0.09,16,4,-1,1.867732929634903,-1,0.0,0.149026152871713,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,33,0.072,25,5,-1,1.5281289999079308,-1,0.0,0.18343365976170345,0.0
