DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
Chicago,101146,0.36,disk,13001,0.072,25,5,4,0.7,0.0,0.0,0.40873036646804173,0.0
Chicago,101146,0.36,disk,4797,0.072,25,5,3,1.4,0.0,0.0,0.2944268731131023,0.0
Chicago,101146,0.36,disk,329,0.072,25,5,2,2.1,0.0,0.0,0.2873292988320561,0.0
Chicago,101146,0.36,disk,500,0.072,25,5,1,2.8,0.0,0.0,0.1839345869202529,0.0
Chicago,101146,0.36,disk,751,0.072,25,5,1,3.5,0.0,0.0,0.17503491227510024,0.0
Chicago,101146,0.36,mdsw,15,0.072,25,5,1,0.7,-1,0.0,1.0746215817155795,0.0
Chicago,101146,0.36,mdsw,13,0.072,25,5,0,1.4,-1,0.0,0.9668190592876813,0.0
Chicago,101146,0.36,mdsw,13,0.072,25,5,0,2.1,-1,0.0,0.8468421837095685,0.0
Chicago,101146,0.36,mdsw,13,0.072,25,5,0,2.8,-1,0.0,0.7872500138709263,0.0
Chicago,101146,0.36,mdsw,14,0.072,25,5,0,3.5,-1,0.0,0.7536863054640348,0.0
Chicago,101146,0.36,hue,6894,0.072,25,5,4,0.7,0.0,0.0,0.49216152628162285,0.0
Chicago,101146,0.36,hue,4127,0.072,25,5,3,1.4,0.0,0.0,0.4684270857834682,0.0
Chicago,101146,0.36,hue,1492,0.072,25,5,2,2.1,0.0,0.0,0.4271830891084242,0.0
Chicago,101146,0.36,hue,783,0.072,25,5,1,2.8,0.0,0.0,0.32034512480006966,0.0
Chicago,101146,0.36,hue,1020,0.072,25,5,1,3.5,0.0,0.0,0.3069199276366303,0.0
Chicago,101146,0.36,diskNonShrink,4051,0.072,25,5,4,0.7,0.0,0.0,0.4149152322107992,0.0
Chicago,101146,0.36,diskNonShrink,4417,0.072,25,5,3,1.4,0.0,0.0,0.32934085242546846,0.0
Chicago,101146,0.36,diskNonShrink,1925,0.072,25,5,2,2.1,0.0,0.0,0.2652208026021064,0.0
Chicago,101146,0.36,diskNonShrink,651,0.072,25,5,1,2.8,0.0,0.0,0.19321743378834905,0.0
Chicago,101146,0.36,diskNonShrink,579,0.072,25,5,1,3.5,0.0,0.0,0.17298131703810268,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,48,0.072,25,5,-1,0.5291658132136217,-1,0.0,0.39857912567661236,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,39,0.072,25,5,-1,0.8846485009498077,-1,0.0,0.3843566617927481,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,34,0.072,25,5,-1,1.1903668045680855,-1,0.0,0.2549895971366668,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,31,0.072,25,5,-1,1.199279692755157,-1,0.0,0.22473143896178302,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,31,0.072,25,5,-1,1.5281289999079308,-1,0.0,0.16704523181938682,0.0
