DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
Chicago,101146,0.36,disk,678,0.072,25,5,1,3.5,0.0,0.0,0.19583762299630955,0.0
Chicago,101146,0.36,disk,36,0.072,25,5,1,3.5,0.25,0.0,0.667449805848594,0.0
Chicago,101146,0.36,disk,35,0.072,25,5,1,3.5,0.5,0.0,0.7078384292396425,0.0
Chicago,101146,0.36,disk,35,0.072,25,5,1,3.5,0.75,0.0,0.7228219019251302,0.0
Chicago,101146,0.36,disk,35,0.072,25,5,1,3.5,1.0,0.0,0.7327191213361722,0.0
Chicago,101146,0.36,hue,1124,0.072,25,5,1,3.5,0.0,0.0,0.37188435499567674,0.0
Chicago,101146,0.36,hue,53,0.072,25,5,1,3.5,0.25,0.0,1.0553823994013314,0.0
Chicago,101146,0.36,hue,47,0.072,25,5,1,3.5,0.5,0.0,1.103695375646444,0.0
Chicago,101146,0.36,hue,45,0.072,25,5,1,3.5,0.75,0.0,1.1079604372322336,0.0
Chicago,101146,0.36,hue,43,0.072,25,5,1,3.5,1.0,0.0,1.1298981665154275,0.0
