DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
Chicago,101146,0.36,disk,10,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,disk,13,0.18,4,2,0,3.5,0.0,0.0,0.10621339033784997,6.50368279833851E-6
Chicago,101146,0.36,disk,22,0.12,9,3,0,3.5,0.0,0.0,0.13028539908694525,2.935966855555793E-4
Chicago,101146,0.36,disk,64,0.09,16,4,0,3.5,0.0,0.0,0.14736692269983287,0.0023333589779823295
Chicago,101146,0.36,disk,491,0.072,25,5,1,3.5,0.0,0.0,0.18617504059115106,0.005076746203688811
Chicago,101146,0.36,mdsw,10,0.36,1,1,0,3.5,-1.0,0.0,0.0,0.0
Chicago,101146,0.36,mdsw,11,0.18,4,2,0,3.5,-1.0,0.0,0.44456348788840494,0.0
Chicago,101146,0.36,mdsw,12,0.12,9,3,0,3.5,-1.0,0.0,0.5681775807018625,0.0
Chicago,101146,0.36,mdsw,12,0.09,16,4,0,3.5,-1.0,0.0,0.6861152236182313,0.0
Chicago,101146,0.36,mdsw,13,0.072,25,5,0,3.5,-1.0,0.0,0.7549132071415642,0.0
Chicago,101146,0.36,hue,10,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,hue,13,0.18,4,2,0,3.5,0.0,0.0,0.10621339033784997,6.50368279833851E-6
Chicago,101146,0.36,hue,22,0.12,9,3,0,3.5,0.0,0.0,0.13028539908694525,2.935966855555793E-4
Chicago,101146,0.36,hue,64,0.09,16,4,0,3.5,0.0,0.0,0.14736692269983287,0.0023333589779823295
Chicago,101146,0.36,hue,1072,0.072,25,5,1,3.5,0.0,0.0,0.34995047571369725,0.0
Chicago,101146,0.36,diskNonShrink,10,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,diskNonShrink,13,0.18,4,2,0,3.5,0.0,0.0,0.10656140849558293,0.0
Chicago,101146,0.36,diskNonShrink,21,0.12,9,3,0,3.5,0.0,0.0,0.13084501161000064,0.0
Chicago,101146,0.36,diskNonShrink,65,0.09,16,4,0,3.5,0.0,0.0,0.14894193557192495,0.0
Chicago,101146,0.36,diskNonShrink,700,0.072,25,5,1,3.5,0.0,0.0,0.1827460664178988,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,0,0.36,1,1,-1,5.15,-1.0,0.0,0.0,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,38,0.18,4,2,-1,3.1316079610346197,-1.0,0.0,0.10632185997152521,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,35,0.12,9,3,-1,2.5410487018532804,-1.0,0.0,0.13268342679443765,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,31,0.09,16,4,-1,1.867732929634903,-1.0,0.0,0.15159598151699966,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,32,0.072,25,5,-1,1.5281289999079308,-1.0,0.0,0.18594534790191863,0.0
