DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimNormal,231114,9.45,disk,373,1.89,25,5,1,3.5,0.0,0.0,0.15846495093005106,0.0
TwoDimNormal,231114,9.45,disk,69,1.89,25,5,1,3.5,0.25,0.0,0.9925300555973844,0.0
TwoDimNormal,231114,9.45,disk,68,1.89,25,5,1,3.5,0.5,0.0,1.0798615945443153,0.0
TwoDimNormal,231114,9.45,disk,69,1.89,25,5,1,3.5,0.75,0.0,1.117975662972355,0.0
TwoDimNormal,231114,9.45,disk,67,1.89,25,5,1,3.5,1.0,0.0,1.1430705229794236,0.0
TwoDimNormal,231114,9.45,hue,556,1.89,25,5,1,3.5,0.0,0.0,0.2581201391374406,0.0
TwoDimNormal,231114,9.45,hue,68,1.89,25,5,1,3.5,0.25,0.0,1.5002450609261542,0.0
TwoDimNormal,231114,9.45,hue,65,1.89,25,5,1,3.5,0.5,0.0,1.5273205944168085,0.0
TwoDimNormal,231114,9.45,hue,63,1.89,25,5,1,3.5,0.75,0.0,1.5361643538131073,0.0
TwoDimNormal,231114,9.45,hue,61,1.89,25,5,1,3.5,1.0,0.0,1.5412473355258351,0.0
