DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimNormal,231114,9.45,disk,25,9.45,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimNormal,231114,9.45,disk,33,4.725,4,2,0,3.5,0.0,0.0,0.11314166748653728,2.905685133269793E-6
TwoDimNormal,231114,9.45,disk,45,3.15,9,3,0,3.5,0.0,0.0,0.07255036110622651,8.456166437540994E-4
TwoDimNormal,231114,9.45,disk,116,2.3625,16,4,0,3.5,0.0,0.0,0.12987404528288524,0.002680718875021157
TwoDimNormal,231114,9.45,disk,332,1.89,25,5,1,3.5,0.0,0.0,0.1376131867841592,0.0035370172210366442
TwoDimNormal,231114,9.45,mdsw,24,9.45,1,1,0,3.5,-1,0.0,0.0,0.0
TwoDimNormal,231114,9.45,mdsw,27,4.725,4,2,0,3.5,-1,0.0,0.3303885012783708,0.0
TwoDimNormal,231114,9.45,mdsw,25,3.15,9,3,0,3.5,-1,0.0,1.0037483632677089,0.0
TwoDimNormal,231114,9.45,mdsw,28,2.3625,16,4,0,3.5,-1,0.0,0.8255765080309643,0.0
TwoDimNormal,231114,9.45,mdsw,27,1.89,25,5,0,3.5,-1,0.0,0.9499736754273861,0.0
TwoDimNormal,231114,9.45,hue,25,9.45,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimNormal,231114,9.45,hue,33,4.725,4,2,0,3.5,0.0,0.0,0.11314166748653728,2.905685133269793E-6
TwoDimNormal,231114,9.45,hue,45,3.15,9,3,0,3.5,0.0,0.0,0.07255036110622651,8.456166437540994E-4
TwoDimNormal,231114,9.45,hue,116,2.3625,16,4,0,3.5,0.0,0.0,0.12987404528288524,0.002680718875021157
TwoDimNormal,231114,9.45,hue,541,1.89,25,5,1,3.5,0.0,0.0,0.23338827580604007,0.0
TwoDimNormal,231114,9.45,diskNonShrink,25,9.45,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimNormal,231114,9.45,diskNonShrink,32,4.725,4,2,0,3.5,0.0,0.0,0.1130971924289846,0.0
TwoDimNormal,231114,9.45,diskNonShrink,42,3.15,9,3,0,3.5,0.0,0.0,0.0772905734294657,0.0
TwoDimNormal,231114,9.45,diskNonShrink,106,2.3625,16,4,0,3.5,0.0,0.0,0.11989908216952574,0.0
TwoDimNormal,231114,9.45,diskNonShrink,752,1.89,25,5,1,3.5,0.0,0.0,0.1435396874970953,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,0,9.45,1,1,-1,5.15,-1,0.0,0.0,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,92,4.725,4,2,-1,3.1316079610346197,-1,0.0,0.11325798178810048,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,90,3.15,9,3,-1,2.5410487018532804,-1,0.0,0.07580740123068248,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,85,2.3625,16,4,-1,1.867732929634903,-1,0.0,0.1319828963002791,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,81,1.89,25,5,-1,1.5281289999079308,-1,0.0,0.17269320907487748,0.0
