DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimNormal,231114,9.45,disk,7150,1.89,25,5,4,0.7,0.0,0.0,0.2911412998365428,0.0
TwoDimNormal,231114,9.45,disk,5791,1.89,25,5,3,1.4,0.0,0.0,0.2263633368977928,0.0
TwoDimNormal,231114,9.45,disk,795,1.89,25,5,2,2.1,0.0,0.0,0.16646380820239948,0.0
TwoDimNormal,231114,9.45,disk,695,1.89,25,5,1,2.8,0.0,0.0,0.16188367403517917,0.0
TwoDimNormal,231114,9.45,disk,995,1.89,25,5,1,3.5,0.0,0.0,0.14461400455139445,0.0
TwoDimNormal,231114,9.45,mdsw,34,1.89,25,5,1,0.7,-1,0.0,1.5377895859957667,0.0
TwoDimNormal,231114,9.45,mdsw,31,1.89,25,5,0,1.4,-1,0.0,1.3477530253981007,0.0
TwoDimNormal,231114,9.45,mdsw,29,1.89,25,5,0,2.1,-1,0.0,1.1437380181088546,0.0
TwoDimNormal,231114,9.45,mdsw,28,1.89,25,5,0,2.8,-1,0.0,1.012935221411329,0.0
TwoDimNormal,231114,9.45,mdsw,26,1.89,25,5,0,3.5,-1,0.0,0.9506841552515061,0.0
TwoDimNormal,231114,9.45,hue,15849,1.89,25,5,4,0.7,0.0,0.0,0.23443403290042095,0.0
TwoDimNormal,231114,9.45,hue,7078,1.89,25,5,3,1.4,0.0,0.0,0.34442137458781835,0.0
TwoDimNormal,231114,9.45,hue,1665,1.89,25,5,2,2.1,0.0,0.0,0.23171444556542342,0.0
TwoDimNormal,231114,9.45,hue,814,1.89,25,5,1,2.8,0.0,0.0,0.22091235136242432,0.0
TwoDimNormal,231114,9.45,hue,523,1.89,25,5,1,3.5,0.0,0.0,0.2722611074043625,0.0
TwoDimNormal,231114,9.45,diskNonShrink,10098,1.89,25,5,4,0.7,0.0,0.0,0.2999642877461868,0.0
TwoDimNormal,231114,9.45,diskNonShrink,2477,1.89,25,5,3,1.4,0.0,0.0,0.20818692117734275,0.0
TwoDimNormal,231114,9.45,diskNonShrink,606,1.89,25,5,2,2.1,0.0,0.0,0.17912866353984605,0.0
TwoDimNormal,231114,9.45,diskNonShrink,873,1.89,25,5,1,2.8,0.0,0.0,0.15549500306689906,0.0
TwoDimNormal,231114,9.45,diskNonShrink,943,1.89,25,5,1,3.5,0.0,0.0,0.14220800316178397,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,116,1.89,25,5,-1,0.5291658132136217,-1,0.0,0.36824322112222946,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,93,1.89,25,5,-1,0.8846485009498077,-1,0.0,0.23784937617802054,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,83,1.89,25,5,-1,1.1903668045680855,-1,0.0,0.24043826552944894,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,65,1.89,25,5,-1,1.199279692755157,-1,0.0,0.21222331325948332,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,78,1.89,25,5,-1,1.5281289999079308,-1,0.0,0.14311476685333585,0.0
