DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimNormal,231114,9.45,disk,27,9.45,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimNormal,231114,9.45,disk,34,4.725,4,2,0,3.5,0.0,0.0,0.1131745226537032,2.5599766077137854E-6
TwoDimNormal,231114,9.45,disk,47,3.15,9,3,0,3.5,0.0,0.0,0.0688432107849218,7.012248376471944E-4
TwoDimNormal,231114,9.45,disk,115,2.3625,16,4,0,3.5,0.0,0.0,0.12396330185756302,0.0018306250581728786
TwoDimNormal,231114,9.45,disk,673,1.89,25,5,1,3.5,0.0,0.0,0.1433306839037956,0.003196100026930007
TwoDimNormal,231114,9.45,mdsw,25,9.45,1,1,0,3.5,-1.0,0.0,0.0,0.0
TwoDimNormal,231114,9.45,mdsw,28,4.725,4,2,0,3.5,-1.0,0.0,0.33246679587546424,0.0
TwoDimNormal,231114,9.45,mdsw,26,3.15,9,3,0,3.5,-1.0,0.0,1.0038152449256619,0.0
TwoDimNormal,231114,9.45,mdsw,29,2.3625,16,4,0,3.5,-1.0,0.0,0.8252553984334574,0.0
TwoDimNormal,231114,9.45,mdsw,29,1.89,25,5,0,3.5,-1.0,0.0,0.9499330384656737,0.0
TwoDimNormal,231114,9.45,hue,27,9.45,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimNormal,231114,9.45,hue,34,4.725,4,2,0,3.5,0.0,0.0,0.1131745226537032,2.5599766077137854E-6
TwoDimNormal,231114,9.45,hue,47,3.15,9,3,0,3.5,0.0,0.0,0.0688432107849218,7.012248376471944E-4
TwoDimNormal,231114,9.45,hue,115,2.3625,16,4,0,3.5,0.0,0.0,0.12396330185756302,0.0018306250581728786
TwoDimNormal,231114,9.45,hue,950,1.89,25,5,1,3.5,0.0,0.0,0.24443245736990254,0.0
TwoDimNormal,231114,9.45,diskNonShrink,27,9.45,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimNormal,231114,9.45,diskNonShrink,34,4.725,4,2,0,3.5,0.0,0.0,0.11317593754406301,0.0
TwoDimNormal,231114,9.45,diskNonShrink,51,3.15,9,3,0,3.5,0.0,0.0,0.06928217618654137,0.0
TwoDimNormal,231114,9.45,diskNonShrink,110,2.3625,16,4,0,3.5,0.0,0.0,0.12345326337660971,0.0
TwoDimNormal,231114,9.45,diskNonShrink,879,1.89,25,5,1,3.5,0.0,0.0,0.1462026764414308,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,0,9.45,1,1,-1,5.15,-1.0,0.0,0.0,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,101,4.725,4,2,-1,3.1316079610346197,-1.0,0.0,0.11308321860432038,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,99,3.15,9,3,-1,2.5410487018532804,-1.0,0.0,0.07240556083750405,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,91,2.3625,16,4,-1,1.867732929634903,-1.0,0.0,0.1367590435337845,0.0
TwoDimNormal,231114,9.45,subsetGeoITwoNorm,85,1.89,25,5,-1,1.5281289999079308,-1.0,0.0,0.16321208974239085,0.0
