DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimMultiCenterNormal,266110,10.76,disk,11981,2.152,25,5,4,0.7,0.0,0.0,0.3179635804283953,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,7330,2.152,25,5,3,1.4,0.0,0.0,0.2284037190615054,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,2406,2.152,25,5,2,2.1,0.0,0.0,0.18971152873763286,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,757,2.152,25,5,1,2.8,0.0,0.0,0.15958511535053704,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,1250,2.152,25,5,1,3.5,0.0,0.0,0.1544391495391871,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,38,2.152,25,5,1,0.7,-1,0.0,1.2777726603957416,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,36,2.152,25,5,0,1.4,-1,0.0,1.1276739898962898,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,35,2.152,25,5,0,2.1,-1,0.0,0.9929511331640425,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,33,2.152,25,5,0,2.8,-1,0.0,0.9033948810951382,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,32,2.152,25,5,0,3.5,-1,0.0,0.8443819736140062,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,7263,2.152,25,5,4,0.7,0.0,0.0,0.36333563378006295,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,3592,2.152,25,5,3,1.4,0.0,0.0,0.3849143333696067,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,2226,2.152,25,5,2,2.1,0.0,0.0,0.33143800108601196,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,1542,2.152,25,5,1,2.8,0.0,0.0,0.22694528869066238,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,1397,2.152,25,5,1,3.5,0.0,0.0,0.2407206798419025,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,7999,2.152,25,5,4,0.7,0.0,0.0,0.34210942734638466,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,5965,2.152,25,5,3,1.4,0.0,0.0,0.22985823604412323,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,1941,2.152,25,5,2,2.1,0.0,0.0,0.1900321964305853,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,662,2.152,25,5,1,2.8,0.0,0.0,0.1797558836173977,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,1299,2.152,25,5,1,3.5,0.0,0.0,0.15360033531611897,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,130,2.152,25,5,-1,0.5291658132136217,-1,0.0,0.31330683857947617,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,108,2.152,25,5,-1,0.8846485009498077,-1,0.0,0.23777176308812198,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,97,2.152,25,5,-1,1.1903668045680855,-1,0.0,0.21233991370808578,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,98,2.152,25,5,-1,1.199279692755157,-1,0.0,0.19365189353572942,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,90,2.152,25,5,-1,1.5281289999079308,-1,0.0,0.14994091969197917,0.0
