DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimMultiCenterNormal,266110,10.76,disk,28,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,35,5.38,4,2,0,3.5,0.0,0.0,0.11437677650371371,4.3591266111304375E-7
TwoDimMultiCenterNormal,266110,10.76,disk,43,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.11086277607175825,3.157186905670701E-5
TwoDimMultiCenterNormal,266110,10.76,disk,113,2.69,16,4,0,3.5,0.0,0.0,0.12577651041352683,0.0011158548561278677
TwoDimMultiCenterNormal,266110,10.76,disk,1139,2.152,25,5,1,3.5,0.0,0.0,0.1641742652099851,0.00496949439006137
TwoDimMultiCenterNormal,266110,10.76,mdsw,28,10.76,1,1,0,3.5,-1,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,29,5.38,4,2,0,3.5,-1,0.0,0.3161812304655435,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,30,3.5866666666666664,9,3,0,3.5,-1,0.0,0.9065770898926837,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,31,2.69,16,4,0,3.5,-1,0.0,0.812421360583227,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,33,2.152,25,5,0,3.5,-1,0.0,0.8448700235157282,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,28,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,35,5.38,4,2,0,3.5,0.0,0.0,0.11437677650371371,4.3591266111304375E-7
TwoDimMultiCenterNormal,266110,10.76,hue,43,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.11086277607175825,3.157186905670701E-5
TwoDimMultiCenterNormal,266110,10.76,hue,113,2.69,16,4,0,3.5,0.0,0.0,0.12577651041352683,0.0011158548561278677
TwoDimMultiCenterNormal,266110,10.76,hue,1281,2.152,25,5,1,3.5,0.0,0.0,0.2321057620438417,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,29,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,35,5.38,4,2,0,3.5,0.0,0.0,0.11462649929854174,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,49,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.1135703776559407,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,109,2.69,16,4,0,3.5,0.0,0.0,0.13731767813748266,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,467,2.152,25,5,1,3.5,0.0,0.0,0.14740047416742066,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,0,10.76,1,1,-1,5.15,-1,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,104,5.38,4,2,-1,3.1316079610346197,-1,0.0,0.1147166107102379,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,101,3.5866666666666664,9,3,-1,2.5410487018532804,-1,0.0,0.11255220152256129,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,95,2.69,16,4,-1,1.867732929634903,-1,0.0,0.13813388342987926,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,91,2.152,25,5,-1,1.5281289999079308,-1,0.0,0.17359307887693232,0.0
