DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimMultiCenterNormal,266110,10.76,disk,10160,2.152,25,5,4,0.7,0.0,0.0,0.32955533705588624,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,4372,2.152,25,5,3,1.4,0.0,0.0,0.23944625239972145,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,2305,2.152,25,5,2,2.1,0.0,0.0,0.19758376632365854,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,1090,2.152,25,5,1,2.8,0.0,0.0,0.1600978461399565,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,981,2.152,25,5,1,3.5,0.0,0.0,0.1519909062147632,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,38,2.152,25,5,1,0.7,-1.0,0.0,1.2772340892017193,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,36,2.152,25,5,0,1.4,-1.0,0.0,1.1279188080625615,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,34,2.152,25,5,0,2.1,-1.0,0.0,0.9934889192442148,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,33,2.152,25,5,0,2.8,-1.0,0.0,0.9029779015248061,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,32,2.152,25,5,0,3.5,-1.0,0.0,0.8439023031815704,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,7558,2.152,25,5,4,0.7,0.0,0.0,0.38065358853614856,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,4135,2.152,25,5,3,1.4,0.0,0.0,0.3743203325766933,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,2769,2.152,25,5,2,2.1,0.0,0.0,0.3167054247134765,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,1417,2.152,25,5,1,2.8,0.0,0.0,0.25586517214704485,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,1373,2.152,25,5,1,3.5,0.0,0.0,0.24994682487238049,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,9455,2.152,25,5,4,0.7,0.0,0.0,0.3115629981893358,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,5999,2.152,25,5,3,1.4,0.0,0.0,0.22183632285289584,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,2021,2.152,25,5,2,2.1,0.0,0.0,0.2004449057239886,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,1064,2.152,25,5,1,2.8,0.0,0.0,0.1630826842164635,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,961,2.152,25,5,1,3.5,0.0,0.0,0.15442336171452123,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,131,2.152,25,5,-1,0.5291658132136217,-1.0,0.0,0.3191513653545145,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,108,2.152,25,5,-1,0.8846485009498077,-1.0,0.0,0.2517523188017834,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,95,2.152,25,5,-1,1.1903668045680855,-1.0,0.0,0.20256193355603233,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,89,2.152,25,5,-1,1.199279692755157,-1.0,0.0,0.1908997504242081,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,90,2.152,25,5,-1,1.5281289999079308,-1.0,0.0,0.15849906039738232,0.0
