DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimMultiCenterNormal,266110,10.76,disk,28,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,34,5.38,4,2,0,3.5,0.0,0.0,0.11456024611935592,1.8615879024795719E-6
TwoDimMultiCenterNormal,266110,10.76,disk,46,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.1130777679177388,4.0852867586300333E-4
TwoDimMultiCenterNormal,266110,10.76,disk,108,2.69,16,4,0,3.5,0.0,0.0,0.1281510273970856,0.0013732040580262102
TwoDimMultiCenterNormal,266110,10.76,disk,1206,2.152,25,5,1,3.5,0.0,0.0,0.15344375533872326,0.002819733387522879
TwoDimMultiCenterNormal,266110,10.76,mdsw,27,10.76,1,1,0,3.5,-1.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,29,5.38,4,2,0,3.5,-1.0,0.0,0.31740686142229285,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,29,3.5866666666666664,9,3,0,3.5,-1.0,0.0,0.90652280755615,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,30,2.69,16,4,0,3.5,-1.0,0.0,0.8117943651174956,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,33,2.152,25,5,0,3.5,-1.0,0.0,0.8441611787815907,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,28,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,34,5.38,4,2,0,3.5,0.0,0.0,0.11456024611935592,1.8615879024795719E-6
TwoDimMultiCenterNormal,266110,10.76,hue,46,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.1130777679177388,4.0852867586300333E-4
TwoDimMultiCenterNormal,266110,10.76,hue,108,2.69,16,4,0,3.5,0.0,0.0,0.1281510273970856,0.0013732040580262102
TwoDimMultiCenterNormal,266110,10.76,hue,1400,2.152,25,5,1,3.5,0.0,0.0,0.2522826936306303,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,28,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,35,5.38,4,2,0,3.5,0.0,0.0,0.11451974230562231,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,46,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.11349933353800871,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,105,2.69,16,4,0,3.5,0.0,0.0,0.12957284881694428,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,1014,2.152,25,5,1,3.5,0.0,0.0,0.15709210136265578,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,0,10.76,1,1,-1,5.15,-1.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,103,5.38,4,2,-1,3.1316079610346197,-1.0,0.0,0.114491150991704,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,100,3.5866666666666664,9,3,-1,2.5410487018532804,-1.0,0.0,0.11369159607879789,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,94,2.69,16,4,-1,1.867732929634903,-1.0,0.0,0.13878172245386192,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,90,2.152,25,5,-1,1.5281289999079308,-1.0,0.0,0.16913186502617203,0.0
