DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimMultiCenterNormal,266110,10.76,disk,1120,2.152,25,5,1,3.5,0.0,0.0,0.15395815010463018,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,78,2.152,25,5,1,3.5,0.25,0.0,0.8666433179069626,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,77,2.152,25,5,1,3.5,0.5,0.0,0.9366674026284441,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,77,2.152,25,5,1,3.5,0.75,0.0,0.96544703738842,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,75,2.152,25,5,1,3.5,1.0,0.0,0.9812139332670993,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,1369,2.152,25,5,1,3.5,0.0,0.0,0.2645623016896813,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,75,2.152,25,5,1,3.5,0.25,0.0,1.2492360968926859,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,70,2.152,25,5,1,3.5,0.5,0.0,1.2730223709061468,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,69,2.152,25,5,1,3.5,0.75,0.0,1.2808623277995634,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,69,2.152,25,5,1,3.5,1.0,0.0,1.2853422463372146,0.0
