DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
NYC,446110,0.32,disk,2147,0.064,25,5,4,0.7,0.0,0.0,0.4998695092655464,0.0
NYC,446110,0.32,disk,1181,0.064,25,5,3,1.4,0.0,0.0,0.4990128478966853,0.0
NYC,446110,0.32,disk,479,0.064,25,5,2,2.1,0.0,0.0,0.41066911458191135,0.0
NYC,446110,0.32,disk,205,0.064,25,5,1,2.8,0.0,0.0,0.25579184700365626,0.0
NYC,446110,0.32,disk,178,0.064,25,5,1,3.5,0.0,0.0,0.25778244806456563,0.0
NYC,446110,0.32,mdsw,114,0.064,25,5,1,0.7,-1.0,0.0,0.20112712944494984,0.0
NYC,446110,0.32,mdsw,112,0.064,25,5,0,1.4,-1.0,0.0,0.20346238219949284,0.0
NYC,446110,0.32,mdsw,107,0.064,25,5,0,2.1,-1.0,0.0,0.2088106900616853,0.0
NYC,446110,0.32,mdsw,103,0.064,25,5,0,2.8,-1.0,0.0,0.21361430243912022,0.0
NYC,446110,0.32,mdsw,100,0.064,25,5,0,3.5,-1.0,0.0,0.217594737755044,0.0
NYC,446110,0.32,hue,1675,0.064,25,5,4,0.7,0.0,0.0,0.5000707425033623,0.0
NYC,446110,0.32,hue,1701,0.064,25,5,3,1.4,0.0,0.0,0.4996148561018696,0.0
NYC,446110,0.32,hue,1918,0.064,25,5,2,2.1,0.0,0.0,0.3847440257407461,0.0
NYC,446110,0.32,hue,479,0.064,25,5,1,2.8,0.0,0.0,0.24894302349274514,0.0
NYC,446110,0.32,hue,478,0.064,25,5,1,3.5,0.0,0.0,0.25057424129881534,0.0
NYC,446110,0.32,diskNonShrink,2234,0.064,25,5,4,0.7,0.0,0.0,0.49992860741047995,0.0
NYC,446110,0.32,diskNonShrink,1197,0.064,25,5,3,1.4,0.0,0.0,0.4990515269207987,0.0
NYC,446110,0.32,diskNonShrink,472,0.064,25,5,2,2.1,0.0,0.0,0.4105039047216749,0.0
NYC,446110,0.32,diskNonShrink,199,0.064,25,5,1,2.8,0.0,0.0,0.25520594509102923,0.0
NYC,446110,0.32,diskNonShrink,178,0.064,25,5,1,3.5,0.0,0.0,0.2574145737593485,0.0
NYC,446110,0.32,subsetGeoITwoNorm,5,0.064,25,5,-1,0.5291658132136217,-1.0,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.064,25,5,-1,0.8846485009498077,-1.0,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.064,25,5,-1,1.1903668045680855,-1.0,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.064,25,5,-1,1.199279692755157,-1.0,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.064,25,5,-1,1.5281289999079308,-1.0,0.0,NaN,0.0
