DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
NYC,446110,0.32,disk,2266,0.064,25,5,4,0.7,0.0,0.0,0.4997651543761722,0.0
NYC,446110,0.32,disk,1242,0.064,25,5,3,1.4,0.0,0.0,0.4994684853758178,0.0
NYC,446110,0.32,disk,490,0.064,25,5,2,2.1,0.0,0.0,0.409358822245161,0.0
NYC,446110,0.32,disk,194,0.064,25,5,1,2.8,0.0,0.0,0.25709636512045575,0.0
NYC,446110,0.32,disk,194,0.064,25,5,1,3.5,0.0,0.0,0.25785124178847363,0.0
NYC,446110,0.32,mdsw,115,0.064,25,5,1,0.7,-1,0.0,0.20118504209198093,0.0
NYC,446110,0.32,mdsw,114,0.064,25,5,0,1.4,-1,0.0,0.20324993108784126,0.0
NYC,446110,0.32,mdsw,105,0.064,25,5,0,2.1,-1,0.0,0.2097249502640584,0.0
NYC,446110,0.32,mdsw,102,0.064,25,5,0,2.8,-1,0.0,0.21352240122134433,0.0
NYC,446110,0.32,mdsw,102,0.064,25,5,0,3.5,-1,0.0,0.21720773404019678,0.0
NYC,446110,0.32,hue,1719,0.064,25,5,4,0.7,0.0,0.0,0.5000773639576859,0.0
NYC,446110,0.32,hue,1718,0.064,25,5,3,1.4,0.0,0.0,0.4995319570139005,0.0
NYC,446110,0.32,hue,1925,0.064,25,5,2,2.1,0.0,0.0,0.38763474686965277,0.0
NYC,446110,0.32,hue,457,0.064,25,5,1,2.8,0.0,0.0,0.2489432658831362,0.0
NYC,446110,0.32,hue,482,0.064,25,5,1,3.5,0.0,0.0,0.2500935004086943,0.0
NYC,446110,0.32,diskNonShrink,2097,0.064,25,5,4,0.7,0.0,0.0,0.4999128434539493,0.0
NYC,446110,0.32,diskNonShrink,1130,0.064,25,5,3,1.4,0.0,0.0,0.4995006837994658,0.0
NYC,446110,0.32,diskNonShrink,462,0.064,25,5,2,2.1,0.0,0.0,0.4108303421195345,0.0
NYC,446110,0.32,diskNonShrink,213,0.064,25,5,1,2.8,0.0,0.0,0.25477654000263533,0.0
NYC,446110,0.32,diskNonShrink,150,0.064,25,5,1,3.5,0.0,0.0,0.258544378017562,0.0
NYC,446110,0.32,subsetGeoITwoNorm,6,0.064,25,5,-1,0.5291658132136217,-1,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,6,0.064,25,5,-1,0.8846485009498077,-1,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,5,0.064,25,5,-1,1.1903668045680855,-1,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,5,0.064,25,5,-1,1.199279692755157,-1,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,5,0.064,25,5,-1,1.5281289999079308,-1,0.0,NaN,0.0
