DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
NYC,446110,0.32,disk,28,0.32,1,1,0,3.5,0.0,0.0,NaN,NaN
NYC,446110,0.32,disk,52,0.16,4,2,0,3.5,0.0,0.0,0.5000198977201615,NaN
NYC,446110,0.32,disk,86,0.10666666666666667,9,3,0,3.5,0.0,0.0,0.3333829536806988,NaN
NYC,446110,0.32,disk,69,0.08,16,4,0,3.5,0.0,0.0,0.25002385873007926,NaN
NYC,446110,0.32,disk,155,0.064,25,5,1,3.5,0.0,0.0,0.25746398200200116,NaN
NYC,446110,0.32,mdsw,47,0.32,1,1,0,3.5,-1,0.0,1.0,0.0
NYC,446110,0.32,mdsw,95,0.16,4,2,0,3.5,-1,0.0,0.5028266729318905,0.0
NYC,446110,0.32,mdsw,101,0.10666666666666667,9,3,0,3.5,-1,0.0,0.34645187265264277,0.0
NYC,446110,0.32,mdsw,96,0.08,16,4,0,3.5,-1,0.0,0.26230545168237773,0.0
NYC,446110,0.32,mdsw,100,0.064,25,5,0,3.5,-1,0.0,0.21687974084657896,0.0
NYC,446110,0.32,hue,28,0.32,1,1,0,3.5,0.0,0.0,NaN,NaN
NYC,446110,0.32,hue,52,0.16,4,2,0,3.5,0.0,0.0,0.5000198977201615,NaN
NYC,446110,0.32,hue,86,0.10666666666666667,9,3,0,3.5,0.0,0.0,0.3333829536806988,NaN
NYC,446110,0.32,hue,69,0.08,16,4,0,3.5,0.0,0.0,0.25002385873007926,NaN
NYC,446110,0.32,hue,469,0.064,25,5,1,3.5,0.0,0.0,0.2472961985829545,0.0
NYC,446110,0.32,diskNonShrink,28,0.32,1,1,0,3.5,0.0,0.0,NaN,0.0
NYC,446110,0.32,diskNonShrink,52,0.16,4,2,0,3.5,0.0,0.0,0.5000078155043481,0.0
NYC,446110,0.32,diskNonShrink,86,0.10666666666666667,9,3,0,3.5,0.0,0.0,0.3333575380451759,0.0
NYC,446110,0.32,diskNonShrink,69,0.08,16,4,0,3.5,0.0,0.0,0.2500280234759366,0.0
NYC,446110,0.32,diskNonShrink,203,0.064,25,5,1,3.5,0.0,0.0,0.25821422821874895,0.0
NYC,446110,0.32,subsetGeoITwoNorm,0,0.32,1,1,-1,5.15,-1,0.0,1.0,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.16,4,2,-1,3.1316079610346197,-1,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.10666666666666667,9,3,-1,2.5410487018532804,-1,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.08,16,4,-1,1.867732929634903,-1,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,5,0.064,25,5,-1,1.5281289999079308,-1,0.0,NaN,0.0
