DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
NYC,446110,0.32,disk,204,0.064,25,5,1,3.5,0.0,0.0,0.2584518480569869,0.0
NYC,446110,0.32,disk,117,0.064,25,5,1,3.5,0.25,0.0,0.21380933805003022,0.0
NYC,446110,0.32,disk,117,0.064,25,5,1,3.5,0.5,0.0,0.20983658126978602,0.0
NYC,446110,0.32,disk,116,0.064,25,5,1,3.5,0.75,0.0,0.20860302027706687,0.0
NYC,446110,0.32,disk,120,0.064,25,5,1,3.5,1.0,0.0,0.20770420813708362,0.0
NYC,446110,0.32,hue,486,0.064,25,5,1,3.5,0.0,0.0,0.24932376539092727,0.0
NYC,446110,0.32,hue,95,0.064,25,5,1,3.5,0.25,0.0,0.20013271849383,0.0
NYC,446110,0.32,hue,93,0.064,25,5,1,3.5,0.5,0.0,0.20006362629709162,0.0
NYC,446110,0.32,hue,85,0.064,25,5,1,3.5,0.75,0.0,0.20004524717568273,0.0
NYC,446110,0.32,hue,89,0.064,25,5,1,3.5,1.0,0.0,0.20003871563945558,0.0
