DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
NYC,446110,0.32,disk,27,0.32,1,1,0,3.5,0.0,0.0,NaN,NaN
NYC,446110,0.32,disk,53,0.16,4,2,0,3.5,0.0,0.0,0.5000284595617626,NaN
NYC,446110,0.32,disk,62,0.10666666666666667,9,3,0,3.5,0.0,0.0,0.33336136307221204,NaN
NYC,446110,0.32,disk,67,0.08,16,4,0,3.5,0.0,0.0,0.2500293062157096,NaN
NYC,446110,0.32,disk,173,0.064,25,5,1,3.5,0.0,0.0,0.2576328217107781,NaN
NYC,446110,0.32,mdsw,48,0.32,1,1,0,3.5,-1.0,0.0,1.0,0.0
NYC,446110,0.32,mdsw,90,0.16,4,2,0,3.5,-1.0,0.0,0.503819886526325,0.0
NYC,446110,0.32,mdsw,93,0.10666666666666667,9,3,0,3.5,-1.0,0.0,0.3468364594323656,0.0
NYC,446110,0.32,mdsw,97,0.08,16,4,0,3.5,-1.0,0.0,0.26222225455001674,0.0
NYC,446110,0.32,mdsw,99,0.064,25,5,0,3.5,-1.0,0.0,0.217154414769474,0.0
NYC,446110,0.32,hue,27,0.32,1,1,0,3.5,0.0,0.0,NaN,NaN
NYC,446110,0.32,hue,53,0.16,4,2,0,3.5,0.0,0.0,0.5000284595617626,NaN
NYC,446110,0.32,hue,62,0.10666666666666667,9,3,0,3.5,0.0,0.0,0.33336136307221204,NaN
NYC,446110,0.32,hue,67,0.08,16,4,0,3.5,0.0,0.0,0.2500293062157096,NaN
NYC,446110,0.32,hue,474,0.064,25,5,1,3.5,0.0,0.0,0.25040043701366793,0.0
NYC,446110,0.32,diskNonShrink,27,0.32,1,1,0,3.5,0.0,0.0,NaN,0.0
NYC,446110,0.32,diskNonShrink,53,0.16,4,2,0,3.5,0.0,0.0,0.5000153599244219,0.0
NYC,446110,0.32,diskNonShrink,62,0.10666666666666667,9,3,0,3.5,0.0,0.0,0.33335654689827265,0.0
NYC,446110,0.32,diskNonShrink,66,0.08,16,4,0,3.5,0.0,0.0,0.25002906990314655,0.0
NYC,446110,0.32,diskNonShrink,178,0.064,25,5,1,3.5,0.0,0.0,0.2578202718536837,0.0
NYC,446110,0.32,subsetGeoITwoNorm,0,0.32,1,1,-1,5.15,-1.0,0.0,1.0,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.16,4,2,-1,3.1316079610346197,-1.0,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.10666666666666667,9,3,-1,2.5410487018532804,-1.0,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,4,0.08,16,4,-1,1.867732929634903,-1.0,0.0,NaN,0.0
NYC,446110,0.32,subsetGeoITwoNorm,5,0.064,25,5,-1,1.5281289999079308,-1.0,0.0,NaN,0.0
