DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
NYC,446110,0.32,disk,174,0.064,25,5,1,3.5,0.0,0.0,0.25775784907873434,0.0
NYC,446110,0.32,disk,112,0.064,25,5,1,3.5,0.25,0.0,0.21389203451301722,0.0
NYC,446110,0.32,disk,113,0.064,25,5,1,3.5,0.5,0.0,0.20990801454226427,0.0
NYC,446110,0.32,disk,110,0.064,25,5,1,3.5,0.75,0.0,0.20843965915727475,0.0
NYC,446110,0.32,disk,113,0.064,25,5,1,3.5,1.0,0.0,0.2075304939553793,0.0
NYC,446110,0.32,hue,475,0.064,25,5,1,3.5,0.0,0.0,0.2505595646138313,0.0
NYC,446110,0.32,hue,92,0.064,25,5,1,3.5,0.25,0.0,0.20012971536015023,0.0
NYC,446110,0.32,hue,90,0.064,25,5,1,3.5,0.5,0.0,0.20006490257994752,0.0
NYC,446110,0.32,hue,89,0.064,25,5,1,3.5,0.75,0.0,0.20004716430509747,0.0
NYC,446110,0.32,hue,85,0.064,25,5,1,3.5,1.0,0.0,0.20004051462235145,0.0
