DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimZipf,100000,1.0,disk,11,1.0,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimZipf,100000,1.0,disk,14,0.5,4,2,0,3.5,0.0,0.0,0.1151321369428507,2.87678612764645E-6
TwoDimZipf,100000,1.0,disk,16,0.3333333333333333,9,3,0,3.5,0.0,0.0,0.1362257670633814,2.467350116987276E-5
TwoDimZipf,100000,1.0,disk,18,0.25,16,4,0,3.5,0.0,0.0,0.1463850906943054,6.922008544553925E-5
TwoDimZipf,100000,1.0,disk,127,0.2,25,5,1,3.5,0.0,0.0,0.1979732624082852,0.0018373178864129513
TwoDimZipf,100000,1.0,mdsw,10,1.0,1,1,0,3.5,-1,0.0,0.0,0.0
TwoDimZipf,100000,1.0,mdsw,12,0.5,4,2,0,3.5,-1,0.0,0.3003447998763695,0.0
TwoDimZipf,100000,1.0,mdsw,12,0.3333333333333333,9,3,0,3.5,-1,0.0,0.298872052850898,0.0
TwoDimZipf,100000,1.0,mdsw,13,0.25,16,4,0,3.5,-1,0.0,0.29021664943293113,0.0
TwoDimZipf,100000,1.0,mdsw,13,0.2,25,5,0,3.5,-1,0.0,0.2794278094228821,0.0
TwoDimZipf,100000,1.0,hue,11,1.0,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimZipf,100000,1.0,hue,14,0.5,4,2,0,3.5,0.0,0.0,0.1151321369428507,2.87678612764645E-6
TwoDimZipf,100000,1.0,hue,16,0.3333333333333333,9,3,0,3.5,0.0,0.0,0.1362257670633814,2.467350116987276E-5
TwoDimZipf,100000,1.0,hue,18,0.25,16,4,0,3.5,0.0,0.0,0.1463850906943054,6.922008544553925E-5
TwoDimZipf,100000,1.0,hue,23,0.2,25,5,1,3.5,0.0,0.0,0.6747779809917398,0.0
TwoDimZipf,100000,1.0,diskNonShrink,10,1.0,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimZipf,100000,1.0,diskNonShrink,14,0.5,4,2,0,3.5,0.0,0.0,0.11579299245420799,0.0
TwoDimZipf,100000,1.0,diskNonShrink,16,0.3333333333333333,9,3,0,3.5,0.0,0.0,0.1397565652273843,0.0
TwoDimZipf,100000,1.0,diskNonShrink,18,0.25,16,4,0,3.5,0.0,0.0,0.1517892652597002,0.0
TwoDimZipf,100000,1.0,diskNonShrink,31,0.2,25,5,1,3.5,0.0,0.0,0.16776247615220685,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,0,1.0,1,1,-1,5.15,-1,0.0,0.0,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,39,0.5,4,2,-1,3.1316079610346197,-1,0.0,0.11520790736659119,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,34,0.3333333333333333,9,3,-1,2.5410487018532804,-1,0.0,0.13676103389002517,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,30,0.25,16,4,-1,1.867732929634903,-1,0.0,0.15863627508634048,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,29,0.2,25,5,-1,1.5281289999079308,-1,0.0,0.18675805249160607,0.0
