DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimZipf,100000,1.0,disk,10,1.0,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimZipf,100000,1.0,disk,14,0.5,4,2,0,3.5,0.0,0.0,0.11534743757942081,4.013532382704257E-6
TwoDimZipf,100000,1.0,disk,15,0.3333333333333333,9,3,0,3.5,0.0,0.0,0.13532764862241295,2.61265497964408E-5
TwoDimZipf,100000,1.0,disk,18,0.25,16,4,0,3.5,0.0,0.0,0.15297590067974529,1.1347231954847415E-4
TwoDimZipf,100000,1.0,disk,133,0.2,25,5,1,3.5,0.0,0.0,0.19712454051479109,0.0016798887396034946
TwoDimZipf,100000,1.0,mdsw,10,1.0,1,1,0,3.5,-1.0,0.0,0.0,0.0
TwoDimZipf,100000,1.0,mdsw,11,0.5,4,2,0,3.5,-1.0,0.0,0.29979977341112807,0.0
TwoDimZipf,100000,1.0,mdsw,12,0.3333333333333333,9,3,0,3.5,-1.0,0.0,0.29825265349544455,0.0
TwoDimZipf,100000,1.0,mdsw,13,0.25,16,4,0,3.5,-1.0,0.0,0.28437201346952584,0.0
TwoDimZipf,100000,1.0,mdsw,13,0.2,25,5,0,3.5,-1.0,0.0,0.2764560508749091,0.0
TwoDimZipf,100000,1.0,hue,10,1.0,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimZipf,100000,1.0,hue,14,0.5,4,2,0,3.5,0.0,0.0,0.11534743757942081,4.013532382704257E-6
TwoDimZipf,100000,1.0,hue,15,0.3333333333333333,9,3,0,3.5,0.0,0.0,0.13532764862241295,2.61265497964408E-5
TwoDimZipf,100000,1.0,hue,18,0.25,16,4,0,3.5,0.0,0.0,0.15297590067974529,1.1347231954847415E-4
TwoDimZipf,100000,1.0,hue,569,0.2,25,5,1,3.5,0.0,0.0,0.409107931953284,0.0
TwoDimZipf,100000,1.0,diskNonShrink,10,1.0,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimZipf,100000,1.0,diskNonShrink,14,0.5,4,2,0,3.5,0.0,0.0,0.11539759901669491,0.0
TwoDimZipf,100000,1.0,diskNonShrink,16,0.3333333333333333,9,3,0,3.5,0.0,0.0,0.13625305137871224,0.0
TwoDimZipf,100000,1.0,diskNonShrink,18,0.25,16,4,0,3.5,0.0,0.0,0.15062319581070424,0.0
TwoDimZipf,100000,1.0,diskNonShrink,110,0.2,25,5,1,3.5,0.0,0.0,0.193011106110263,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,0,1.0,1,1,-1,5.15,-1.0,0.0,0.0,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,39,0.5,4,2,-1,3.1316079610346197,-1.0,0.0,0.11519055150976207,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,34,0.3333333333333333,9,3,-1,2.5410487018532804,-1.0,0.0,0.13717875332093254,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,29,0.25,16,4,-1,1.867732929634903,-1.0,0.0,0.15461533767817887,0.0
TwoDimZipf,100000,1.0,subsetGeoITwoNorm,29,0.2,25,5,-1,1.5281289999079308,-1.0,0.0,0.1814950202786493,0.0
