DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimZipf,100000,1.0,disk,113,0.2,25,5,1,3.5,0.0,0.0,0.20098880986664763,0.0
TwoDimZipf,100000,1.0,disk,37,0.2,25,5,1,3.5,0.25,0.0,0.241916113063108,0.0
TwoDimZipf,100000,1.0,disk,37,0.2,25,5,1,3.5,0.5,0.0,0.27588405387654846,0.0
TwoDimZipf,100000,1.0,disk,36,0.2,25,5,1,3.5,0.75,0.0,0.28660295301568384,0.0
TwoDimZipf,100000,1.0,disk,36,0.2,25,5,1,3.5,1.0,0.0,0.2952660200758049,0.0
TwoDimZipf,100000,1.0,hue,759,0.2,25,5,1,3.5,0.0,0.0,0.40556554548150725,0.0
TwoDimZipf,100000,1.0,hue,50,0.2,25,5,1,3.5,0.25,0.0,0.6120836351671282,0.0
TwoDimZipf,100000,1.0,hue,45,0.2,25,5,1,3.5,0.5,0.0,0.6335625195024283,0.0
TwoDimZipf,100000,1.0,hue,43,0.2,25,5,1,3.5,0.75,0.0,0.6476717483408974,0.0
TwoDimZipf,100000,1.0,hue,40,0.2,25,5,1,3.5,1.0,0.0,0.6491187366515867,0.0
